Country,Country Code,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Costa Rica,CRI,20.43089,no data,20.64334,21.02189,20.81096,23.40822,22.88089,23.00962,23.50156,22.83091,23.10953,23.37343,23.4232,30.15142
Caribbean small states,CSS,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Cuba,CUB,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Curacao,CUW,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Cayman Islands,CYM,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Cyprus,CYP,15.83298,15.83936,16.17962,16.72048,17.59075,17.20125,15.64949,15.49765,no data,15.36213,15.92778,16.21095,no data,no data
Czech Republic,CZE,9.43307,9.20297,10.19694,9.57695,9.21464,9.43733,9.34049,9.92718,9.55685,9.60244,9.41373,13.88252,14.1515,no data
Germany,DEU,no data,no data,9.57416,10.14314,10.11993,10.25824,10.39811,10.75331,11.1373,11.04308,11.19357,10.99351,10.93897,no data
Djibouti,DJI,24.70114,22.71505,24.70796,22.52744,no data,no data,12.3284,no data,no data,no data,no data,no data,no data,no data
Dominica,DMA,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,10.5221,no data,no data
Denmark,DNK,15.48686,15.77934,15.51264,15.3567,14.83026,14.94417,15.10334,15.03626,12.48871,15.21744,13.82682,no data,no data,no data
Dominican Republic,DOM,no data,no data,no data,12.57788,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Algeria,DZA,no data,no data,no data,no data,11.42835,no data,no data,no data,no data,no data,no data,no data,no data,no data
East Asia & Pacific (excluding high income),EAP,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Early-demographic dividend,EAR,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
East Asia & Pacific,EAS,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Europe & Central Asia (excluding high income),ECA,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Europe & Central Asia,ECS,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Ecuador,ECU,no data,no data,no data,no data,no data,13.17257,12.99656,11.97611,11.53415,11.44254,12.06831,12.59765,no data,no data
"Egypt, Arab Rep.",EGY,14.74871,15.04361,11.01859,11.20964,10.9418,no data,no data,no data,no data,no data,no data,no data,no data,no data
Euro area,EMU,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Eritrea,ERI,5.74185,no data,5.16807,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Spain,ESP,10.72426,10.77912,10.88591,10.84699,10.9364,10.63257,10.56192,10.61811,9.21341,9.49991,9.54349,9.77104,9.97324,no data
Estonia,EST,14.30608,14.2577,no data,13.68231,13.87971,12.93009,13.64279,13.4062,11.9912,12.58262,14.25663,12.9666,13.0869,no data
Ethiopia,ETH,no data,no data,23.97538,24.69945,26.35573,23.58375,26.30404,29.67443,30.53954,27.0211,25.91838,27.09871,no data,no data
European Union,EUU,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Fragile and conflict affected situations,FCS,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Finland,FIN,12.77896,12.2497,12.28382,12.14995,12.1154,11.84332,11.94549,11.91888,12.79729,12.44551,12.30714,12.41223,12.33452,no data
Fiji,FJI,23.74915,20.26613,20.84329,23.1704,17.36972,15.85362,no data,14.38152,no data,14.30039,no data,no data,no data,no data
France,FRA,10.68068,10.35549,10.32101,10.38171,10.2321,10.05424,10.00722,9.80296,9.55435,9.61137,9.63385,9.62021,9.60255,no data
Faroe Islands,FRO,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
"Micronesia, Fed. Sts.",FSM,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,22.31239,no data,no data
Gabon,GAB,no data,no data,no data,no data,no data,no data,13.33042,13.74125,12.58227,8.73757,11.22549,no data,no data,no data
United Kingdom,GBR,12.93768,13.17415,13.13644,13.03284,12.95477,12.61481,13.02604,12.6972,no data,12.91605,13.66837,13.83661,13.8311,no data
Georgia,GEO,15.03676,11.18125,12.89539,9.48665,8.9376,8.99825,no data,9.26943,6.70776,no data,no data,no data,12.6662,12.95336
Ghana,GHA,22.37925,23.42996,24.16198,22.31702,24.0375,22.49513,20.69614,30.63431,37.52096,21.22221,20.98514,23.8088,22.09332,20.09764
Gibraltar,GIB,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Guinea,GIN,12.3133,10.94747,no data,no data,15.67826,13.5834,12.43832,14.25931,9.46061,14.13281,11.98951,11.59878,15.76886,13.37679
"Gambia, The",GMB,5.02954,5.34417,5.36076,7.2975,18.88171,13.29374,17.61123,15.11833,13.79553,10.28876,11.75232,no data,10.35779,no data
Guinea-Bissau,GNB,no data,no data,no data,no data,no data,no data,9.06924,10.19974,14.5398,16.19138,no data,no data,no data,no data
Equatorial Guinea,GNQ,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Greece,GRC,7.70183,8.70021,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Grenada,GRD,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,42.78863,14.04117
Greenland,GRL,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Guatemala,GTM,no data,no data,20.33845,21.27816,23.34816,no data,19.29692,20.24641,21.10514,20.63795,21.95939,24.0855,23.43475,23.08805
Guam,GUM,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Guyana,GUY,11.08074,13.82344,13.48169,11.52616,no data,10.23917,11.83872,11.72072,10.1867,no data,18.73569,17.80268,18.71751,18.27612
High income,HIC,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
"Hong Kong SAR, China",HKG,23.15106,22.47858,23.2826,22.63778,22.9224,23.79947,19.90941,20.14833,18.64948,20.3008,17.6204,18.60857,18.12696,17.84128
Honduras,HND,no data,no data,no data,no data,no data,no data,no data,no data,no data,19.86407,25.65362,24.64456,22.93573,22.02493
Heavily indebted poor countries (HIPC),HPC,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Croatia,HRV,8.11906,no data,no data,8.83161,9.54932,9.22726,8.95828,8.51584,no data,9.49459,no data,no data,no data,no data
Haiti,HTI,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,14.44943,13.12662,no data
Hungary,HUN,11.0059,10.80057,10.32771,10.33817,10.27056,9.86438,9.68557,9.30432,8.61055,8.52697,9.38128,9.13914,10.06791,no data
IBRD only,IBD,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
IDA & IBRD total,IBT,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
IDA total,IDA,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
IDA blend,IDB,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Indonesia,IDN,14.1703,15.1488,no data,14.94431,13.67475,19.30844,16.65418,18.00613,18.09042,17.60393,17.67152,20.5033,no data,no data
IDA only,IDX,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Isle of Man,IMN,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
India,IND,11.19686,11.20846,11.69371,no data,no data,11.1912,11.83368,13.56491,13.99212,14.05018,no data,no data,no data,no data
Not classified,INX,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Ireland,IRL,13.52982,13.56242,13.42976,13.12242,13.02137,13.05178,9.28401,12.56876,13.71611,13.21434,13.01701,13.01199,13.45282,no data
"Iran, Islamic Rep.",IRN,21.47405,22.32196,20.21824,19.87443,20.57943,18.02354,18.80435,19.1267,17.39562,21.67391,19.66486,18.56875,19.30131,20.04203
Iraq,IRQ,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Iceland,ISL,16.80609,17.81014,17.92558,17.21786,13.03326,15.16024,14.60397,15.41712,17.33145,17.66942,17.54882,18.15799,16.83943,no data
Israel,ISR,13.44245,13.19577,13.42577,13.30529,13.17294,13.05765,13.71379,13.99305,14.10835,14.58552,14.86271,15.53671,15.45475,no data
Italy,ITA,9.38801,9.01373,9.52719,8.80193,9.20517,8.86717,8.72395,8.39238,8.04118,8.1558,8.00647,8.12043,7.80857,no data
Jamaica,JAM,11.73302,14.26937,no data,17.17305,19.11938,17.55284,16.10294,18.58193,18.80926,20.57386,21.79749,20.05148,19.14512,18.40254
Jordan,JOR,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,13.28498,12.07011
Japan,JPN,9.63943,9.68996,9.62214,9.77482,9.75987,no data,9.21129,9.44917,9.36686,9.30925,9.09332,no data,no data,no data
Kazakhstan,KAZ,10.60979,10.2278,13.26734,11.94462,13.64711,13.0409,no data,no data,no data,no data,no data,12.19487,13.86969,11.42533
Kenya,KEN,26.66815,27.46934,25.0814,no data,no data,no data,20.55599,19.25283,19.9239,19.13569,17.08103,16.66466,17.33847,17.87755
Kyrgyz Republic,KGZ,16.24381,16.7684,19.0526,21.85146,21.20624,19.15301,15.68131,18.17253,18.19501,17.77379,14.23595,15.61182,16.66387,15.88281
Cambodia,KHM,12.40431,no data,no data,11.10351,no data,8.16524,7.33747,7.3354,7.19985,9.59707,8.7916,no data,no data,no data
Kiribati,KIR,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
St. Kitts and Nevis,KNA,11.79026,11.05621,12.47841,13.05181,no data,no data,no data,no data,no data,no data,no data,8.6355,no data,no data
"Korea, Rep.",KOR,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Kuwait,KWT,14.95361,13.85411,13.37001,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Latin America & Caribbean (excluding high income),LAC,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Lao PDR,LAO,16.24383,13.73158,17.48047,17.35745,13.96301,8.17408,7.27595,8.01467,8.58465,12.80755,12.18988,no data,no data,no data
Lebanon,LBN,7.93123,8.42131,7.69319,7.34104,5.86977,5.503,5.53429,5.73381,7.10916,8.57552,no data,no data,no data,no data
Liberia,LBR,no data,no data,no data,no data,6.45407,no data,no data,no data,5.18434,4.67327,6.89349,no data,no data,no data
Libya,LBY,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
St. Lucia,LCA,15.04104,16.30697,19.01138,no data,19.94337,13.89532,14.20208,13.83676,12.19245,13.84786,15.30152,16.45298,21.9757,no data
Latin America & Caribbean,LCN,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Least developed countries: UN classification,LDC,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Low income,LIC,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Liechtenstein,LIE,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Sri Lanka,LKA,no data,no data,no data,no data,no data,8.27079,8.60566,9.11016,8.39403,9.41995,10.82396,10.95026,17.72876,14.49976
Lower middle income,LMC,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Low & middle income,LMY,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Lesotho,LSO,27.6499,32.40492,28.23381,no data,24.69755,no data,no data,no data,no data,no data,no data,no data,no data,no data
Late-demographic dividend,LTE,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Lithuania,LTU,15.57213,14.57956,14.28965,13.32594,13.05296,12.77761,12.85882,12.33635,13.53597,13.28802,13.19014,12.28826,12.02524,no data
Luxembourg,LUX,no data,no data,no data,no data,no data,no data,no data,no data,9.28171,no data,9.5505,9.42587,no data,no data
Latvia,LVA,14.50181,no data,13.91163,14.06705,14.7631,13.02514,11.80903,12.71531,17.73655,18.74402,13.97237,14.12741,12.89329,no data
