Country,Country Code,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Saudi Arabia,SAU,20.18866,19.29229,21.60387,no data,19.25742,no data,no data,no data,no data,no data,no data,no data,no data,no data
Sudan,SDN,7.94924,5.9668,8.25316,no data,9.39278,10.78182,no data,no data,no data,no data,no data,no data,no data,no data
Senegal,SEN,16.96225,21.77097,17.95464,no data,19.22614,23.30045,24.04635,21.08697,20.79525,25.74235,24.76247,23.75856,21.33722,21.56281
Singapore,SGP,20.3052,19.81695,19.74932,20.01841,19.94286,17.19887,17.16863,19.89241,21.16143,19.95866,no data,no data,no data,no data
Solomon Islands,SLB,no data,no data,no data,22.16813,18.81775,16.78565,17.47849,no data,no data,no data,no data,no data,no data,no data
Sierra Leone,SLE,17.1488,15.50661,no data,19.75022,14.9309,15.89646,12.80191,12.41146,14.12596,15.20231,15.09174,no data,12.47358,19.8941
El Salvador,SLV,no data,14.65582,15.75177,16.43733,19.44883,18.54698,16.16422,15.87258,15.27999,15.55899,16.11058,16.60156,16.1132,15.59205
San Marino,SMR,no data,no data,no data,no data,no data,no data,10.78129,10.64036,no data,no data,no data,no data,no data,13.10361
Somalia,SOM,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Serbia,SRB,no data,no data,no data,9.97664,10.39082,10.48218,10.09823,10.17957,9.22701,no data,8.764,8.87636,8.69299,9.25646
Sub-Saharan Africa (excluding high income),SSA,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
South Sudan,SSD,no data,no data,no data,no data,no data,no data,no data,3.9507,no data,3.22802,4.13136,3.27551,0.8457,1.0737
Sub-Saharan Africa,SSF,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Small states,SST,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Sao Tome and Principe,STP,5.84991,12.12649,14.08841,16.65969,18.24332,20.5595,19.32359,no data,13.71967,18.82663,12.3226,11.29725,15.96804,18.39938
Suriname,SUR,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Slovak Republic,SVK,10.86331,9.46612,9.58011,9.71228,9.54827,9.09838,9.76616,9.70747,9.62131,9.86131,10.06451,10.28055,9.41514,no data
Slovenia,SVN,13.49902,13.29055,13.3197,12.89666,12.54904,12.30418,12.08019,12.07168,12.63184,9.99504,11.27432,11.21851,11.71681,no data
Sweden,SWE,13.06133,12.76274,12.80668,12.84501,13.02608,13.26278,13.30598,13.17739,15.22918,15.14365,15.32902,15.50146,15.73223,no data
Eswatini,SWZ,21.10407,20.89186,22.70757,no data,21.81324,19.38638,18.28303,22.33393,no data,no data,24.79544,no data,no data,no data
Sint Maarten (Dutch part),SXM,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Seychelles,SYC,no data,no data,10.95452,no data,no data,no data,no data,10.38641,6.7712,9.54766,12.08458,no data,11.72343,no data
Syrian Arab Republic,SYR,17.1454,no data,20.04848,18.92593,20.04079,19.18405,no data,no data,no data,no data,no data,no data,no data,no data
Turks and Caicos Islands,TCA,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,14.1917,no data,no data
Chad,TCD,11.0319,14.67282,no data,no data,no data,9.54159,8.11928,10.08326,9.21241,12.46146,no data,no data,no data,no data
East Asia & Pacific (IDA & IBRD countries),TEA,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Europe & Central Asia (IDA & IBRD countries),TEC,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Togo,TGO,21.83069,17.67808,17.28665,18.15452,19.24566,19.37198,19.61576,16.90379,17.68043,16.59207,17.39141,16.66499,15.99131,no data
Thailand,THA,21.45767,20.54682,22.00279,18.48467,18.16285,18.1783,16.22262,22.63024,21.3968,19.12593,no data,no data,no data,no data
Tajikistan,TJK,13.67676,15.29338,15.63601,12.21488,12.8005,14.31216,15.33145,14.56051,16.3705,no data,no data,16.39336,no data,no data
Turkmenistan,TKM,no data,no data,no data,no data,no data,no data,no data,no data,20.79551,no data,no data,no data,no data,no data
Latin America & the Caribbean (IDA & IBRD countries),TLA,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Timor-Leste,TLS,no data,no data,no data,no data,7.09054,10.58612,9.15421,7.6509,5.53769,5.89318,6.77287,8.63697,7.36296,8.28357
Middle East & North Africa (IDA & IBRD countries),TMN,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Tonga,TON,18.10253,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
South Asia (IDA & IBRD),TSA,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Sub-Saharan Africa (IDA & IBRD countries),TSS,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Trinidad and Tobago,TTO,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Tunisia,TUN,27.83381,26.69569,26.86131,26.42863,25.25867,25.26201,24.84683,no data,20.99101,no data,no data,22.62495,no data,no data
Turkey,TUR,8.65172,no data,7.96737,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Tuvalu,TUV,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Tanzania,TZA,19.49264,18.14314,15.01412,19.43174,18.77841,17.41092,19.64801,no data,no data,no data,17.2971,no data,no data,no data
Uganda,UGA,20.30834,no data,no data,no data,no data,no data,10.10489,13.61137,11.4519,11.74312,10.87596,12.13618,11.37934,12.04124
Ukraine,UKR,12.78175,13.73865,13.92323,14.03619,13.55783,15.05482,no data,13.48432,13.66552,13.86764,13.12135,no data,12.35312,13.05142
Upper middle income,UMC,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Uruguay,URY,8.39025,9.43665,9.8755,no data,no data,no data,no data,14.92611,no data,no data,no data,no data,14.35388,14.62195
United States,USA,no data,no data,no data,no data,no data,no data,no data,no data,no data,13.39362,13.59483,no data,no data,no data
Uzbekistan,UZB,no data,no data,no data,no data,no data,no data,no data,no data,no data,23.32053,23.51731,23.64584,23.85045,23.03091
St. Vincent and the Grenadines,VCT,no data,22.59199,no data,20.03841,no data,17.3385,15.48563,no data,no data,no data,no data,no data,20.14841,18.94895
"Venezuela, RB",VEN,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
British Virgin Islands,VGB,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Virgin Islands (U.S.),VIR,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Vietnam,VNM,no data,no data,no data,no data,18.05421,15.239,17.11449,17.81127,18.78496,18.51551,no data,no data,15.29596,no data
Vanuatu,VUT,no data,no data,no data,no data,21.40563,18.72315,no data,no data,no data,no data,17.20281,12.9964,no data,11.78297
World,WLD,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Samoa,WSM,no data,no data,no data,no data,16.06423,no data,no data,no data,no data,no data,no data,no data,10.47922,no data
Kosovo,XKX,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
"Yemen, Rep.",YEM,no data,no data,no data,no data,12.48924,no data,no data,no data,no data,no data,no data,no data,no data,no data
South Africa,ZAF,19.93463,19.92499,18.00499,18.02707,17.90631,18.30626,18.04437,18.96147,20.63561,19.17124,19.13845,18.69935,18.04874,18.7153
Zambia,ZMB,10.58499,7.72973,no data,6.22791,5.6518,no data,no data,no data,no data,no data,no data,no data,no data,no data
Zimbabwe,ZWE,no data,no data,no data,no data,no data,no data,8.53672,no data,29.75109,28.66034,30.01515,no data,no data,no data
